Sum of runs_scored,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
501221,150,146,296,,,,1Won
501222,158,170,328,,,,2Won
501223,215,197,412,,,,2Won
501224,167,123,290,,,,1Won
501225,100,109,209,,,,1Won
501226,138,110,248,,,,2Won
501227,147,143,290,,,,2Won
501228,136,137,273,,,,1Won
501229,122,67,189,,,,1Won
501230,140,124,264,,,,2Won
501231,87,93,180,,,,1Won
501232,179,146,325,,,,2Won
501233,141,111,252,,,,1Won
501234,113,108,221,,,,1Won
501235,138,133,271,,,,2Won
501236,156,141,297,,,,2Won
501237,154,124,278,,,,1Won
501238,133,123,256,,,,1Won
501239,159,145,304,,,,2Won
501240,140,145,285,,,,1Won
501241,145,129,274,,,,1Won
501242,150,136,286,,,,1Won
501243,165,169,334,,,,2Won
501244,199,115,314,,,,1Won
501245,108,57,165,,,,1Won
501246,172,137,309,,,,2Won
501247,115,123,238,,,,1Won
501248,115,108,223,,,,1Won
501249,188,128,316,,,,2Won
501250,135,134,269,,,,1Won
501251,141,82,223,,,,1Won
501252,135,147,282,,,,2Won
501253,172,144,316,,,,2Won
501254,155,173,328,,,,2Won
501255,82,99,181,,,,1Won
501256,128,107,235,,,,2Won
501257,161,129,290,,,,2Won
501258,94,89,183,,,,1Won
501259,133,129,262,,,,2Won
501260,205,112,317,,,,1Won
501261,148,132,280,,,,1Won
501262,106,114,220,,,,1Won
501263,128,132,260,,,,2Won
501264,182,112,294,,,,1Won
501265,51,,51,,,,1Won
501266,118,119,237,,,,2Won
501267,169,162,331,,,,2Won
501268,161,169,330,,,,2Won
501269,141,144,285,,,,1Won
501270,171,138,309,,,,1Won
501271,196,141,337,,,,1Won
548306,100,109,209,,,,1Won
548307,90,95,185,,,,1Won
548308,121,96,217,,,,2Won
548309,172,154,326,,,,2Won
548310,151,133,284,,,,1Won
548311,182,115,297,,,,1Won
548312,161,135,296,,,,1Won
548313,154,133,287,,,,1Won
548314,133,138,271,,,,1Won
548315,159,113,272,,,,1Won
548316,104,110,214,,,,1Won
548317,191,166,357,,,,2Won
548318,189,203,392,,,,2Won
548319,103,116,219,,,,1Won
548320,121,125,246,,,,2Won
548321,151,158,309,,,,2Won
548322,149,151,300,,,,2Won
548323,127,123,250,,,,1Won
548324,189,133,322,,,,2Won
548325,83,82,165,,,,1Won
548326,183,191,374,,,,2Won
548327,175,179,354,,,,1Won
548328,121,122,243,,,,1Won
548329,185,177,362,,,,2Won
548330,162,136,298,,,,1Won
548331,155,158,313,,,,1Won
548332,132,145,277,,,,1Won
548333,177,167,344,,,,2Won
548334,157,158,315,,,,1Won
548335,123,118,241,,,,1Won
548336,170,133,303,,,,2Won
548337,141,141,282,,,,1Won
548339,158,162,320,,,,2Won
548341,166,150,316,,,,1Won
548342,198,166,364,,,,2Won
548343,151,143,294,,,,1Won
548344,185,138,323,,,,1Won
548345,144,147,291,,,,1Won
548346,95,91,186,,,,1Won
548347,133,127,260,,,,2Won
548348,175,167,342,,,,2Won
548349,136,135,271,,,,1Won
548350,152,159,311,,,,2Won
548351,109,113,222,,,,1Won
548352,152,146,298,,,,2Won
548353,131,133,264,,,,1Won
548354,171,122,293,,,,1Won
