Sum of runs_scored,Column Labels,,,,,,
Row Labels,1,2,Grand Total,,,,
1254089,184,183,367,,,,1Won
1254090,154,150,304,,,,1Won
1254091,124,136,260,,,,1Won
1254092,121,125,246,,,,2Won
1254093,87,90,177,,,,1Won
1254094,125,134,259,,,,2Won
1254095,137,134,271,,,,2Won
1254096,146,152,298,,,,2Won
1254097,145,115,260,,,,1Won
1254098,163,167,330,,,,2Won
1254099,129,135,264,,,,1Won
1254100,157,150,307,,,,2Won
1254101,155,159,314,,,,2Won
1254102,157,162,319,,,,2Won
1254103,145,145,290,,,,1Won
1254104,145,132,277,,,,1Won
1254105,121,135,256,,,,1Won
1254106,154,84,238,,,,1Won
1254107,118,113,231,,,,1Won
1254108,154,104,258,,,,1Won
1254109,112,117,229,,,,1Won
1254110,121,131,252,,,,2Won
1254111,176,174,350,,,,2Won
1254112,123,126,249,,,,1Won
1254113,151,152,303,,,,2Won
1254114,166,169,335,,,,2Won
1254115,125,134,259,,,,1Won
1254116,129,126,255,,,,2Won
1254117,186,156,342,,,,2Won
1304047,125,129,254,,,,1Won
1304048,174,168,342,,,,2Won
1304049,182,186,368,,,,2Won
1304050,154,152,306,,,,1Won
1304051,196,139,335,,,,1Won
1304052,122,118,240,,,,1Won
1304053,196,193,389,,,,2Won
1304054,126,135,261,,,,1Won
1304055,182,159,341,,,,2Won
1304056,164,146,310,,,,1Won
1304057,166,122,288,,,,1Won
1304058,165,147,312,,,,1Won
1304059,161,163,324,,,,1Won
1304060,158,159,317,,,,1Won
1304061,143,149,292,,,,1Won
1304062,185,183,368,,,,2Won
1304063,149,151,300,,,,1Won
1304064,147,145,292,,,,1Won
1304065,199,165,364,,,,2Won
1304066,156,157,313,,,,1Won
1304067,140,162,302,,,,2Won
1304068,203,184,387,,,,2Won
1304069,182,181,363,,,,1Won
1304070,188,152,340,,,,1Won
1304071,166,164,330,,,,1Won
1304072,191,166,357,,,,2Won
1304073,179,168,347,,,,1Won
1304074,144,144,288,,,,1Won
1304075,164,163,327,,,,2Won
1304076,201,197,398,,,,2Won
1304077,172,148,320,,,,1Won
1304078,113,113,226,,,,1Won
1304079,150,148,298,,,,2Won
1304080,217,194,411,,,,2Won
1304081,146,141,287,,,,1Won
1304082,56,70,126,,,,1Won
1304083,160,118,278,,,,2Won
1304084,173,160,333,,,,2Won
1304085,141,104,245,,,,1Won
1304086,181,188,369,,,,2Won
1304087,137,144,281,,,,1Won
1304088,141,118,259,,,,1Won
1304089,163,165,328,,,,2Won
1304090,146,150,296,,,,1Won
1304091,178,186,364,,,,2Won
1304092,193,184,377,,,,2Won
1304093,143,143,286,,,,1Won
1304094,129,133,262,,,,1Won
1304095,161,156,317,,,,2Won
1304096,195,175,370,,,,2Won
1304097,170,168,338,,,,1Won
1304098,175,183,358,,,,2Won
1304099,172,98,270,,,,1Won
1304100,184,118,302,,,,1Won
1304101,196,113,309,,,,1Won
1304102,154,103,257,,,,1Won
1304103,137,79,216,,,,1Won
1304104,154,154,308,,,,2Won
1304105,82,93,175,,,,1Won
1304106,202,145,347,,,,2Won
1304107,165,120,285,,,,1Won
1304108,126,127,253,,,,1Won
1304109,174,139,313,,,,2Won
1304110,150,136,286,,,,1Won
1304111,184,176,360,,,,2Won
1304112,208,198,406,,,,2Won
1304113,165,159,324,,,,1Won
1304114,145,135,280,,,,1Won
1304115,145,155,300,,,,2Won
1304116,145,154,299,,,,2Won
1312197,177,178,355,,,,2Won
1312198,197,171,368,,,,1Won
1312199,142,161,303,,,,1Won
1312200,128,124,252,,,,1Won
1359475,170,170,340,,,,2Won
1359476,187,140,327,,,,1Won
1359477,185,133,318,,,,1Won
1359478,195,124,319,,,,1Won
1359479,160,167,327,,,,1Won
1359480,201,187,388,,,,2Won
1359481,147,155,302,,,,1Won
1359482,187,182,369,,,,2Won
1359483,181,117,298,,,,1Won
1359484,117,110,227,,,,1Won
1359485,193,132,325,,,,2Won
1359486,149,149,298,,,,1Won
1359487,188,203,391,,,,2Won
1359488,137,145,282,,,,1Won
1359489,200,197,397,,,,2Won
1359490,161,167,328,,,,1Won
1359491,165,162,327,,,,2Won
1359492,142,146,288,,,,1Won
1359493,216,195,411,,,,2Won
1359494,163,148,311,,,,1Won
1359495,147,154,301,,,,1Won
1359496,171,182,353,,,,2Won
1359497,172,176,348,,,,2Won
1359498,219,207,426,,,,2Won
1359499,190,159,349,,,,1Won
1359500,148,132,280,,,,1Won
1359501,162,145,307,,,,1Won
1359502,115,121,236,,,,1Won
1359503,130,136,266,,,,2Won
1359504,134,126,260,,,,1Won
1359505,202,198,400,,,,2Won
1359506,176,171,347,,,,1Won
1359507,232,176,408,,,,2Won
1359508,140,136,276,,,,1Won
1359509,202,147,349,,,,2Won
1359510,193,173,366,,,,1Won
1359511,191,168,359,,,,1Won
1359512,242,188,430,,,,1Won
1359513,176,168,344,,,,1Won
1359514,187,184,371,,,,2Won
1359515,192,188,380,,,,2Won
1359516,187,204,391,,,,2Won
1359517,124,101,225,,,,1Won
1359518,125,120,245,,,,1Won
1359519,119,,119,,,,1Won
1359520,197,209,406,,,,2Won
1359521,163,152,315,,,,1Won
1359522,110,116,226,,,,1Won
1359523,131,135,266,,,,2Won
1359524,173,178,351,,,,2Won
1359525,221,163,384,,,,1Won
1359526,203,212,415,,,,1Won
1359527,166,178,344,,,,1Won
1359528,195,186,381,,,,2Won
1359529,152,129,281,,,,1Won
1359530,146,146,292,,,,1Won
1359531,216,185,401,,,,2Won
1359532,177,179,356,,,,1Won
1359533,154,132,286,,,,1Won
1359534,166,56,222,,,,1Won
1359535,138,135,273,,,,1Won
1359536,175,145,320,,,,2Won
1359537,167,157,324,,,,1Won
1359538,208,188,396,,,,2Won
1359539,180,180,360,,,,1Won
1359540,181,180,361,,,,2Won
1359541,213,135,348,,,,1Won
1359542,164,166,330,,,,1Won
1359543,188,195,383,,,,2Won
1359544,190,179,369,,,,1Won
1370350,167,142,309,,,,1Won
1370351,166,91,257,,,,1Won
1370352,223,164,387,,,,1Won
1370353,210,166,376,,,,1Won
1422119,160,160,320,,,,1Won
1422120,164,169,333,,,,2Won
1422121,200,197,397,,,,2Won
1422122,185,159,344,,,,1Won
1422123,156,159,315,,,,1Won
1422124,168,160,328,,,,2Won
1422125,200,132,332,,,,1Won
1422126,258,235,493,,,,2Won
1422127,178,168,346,,,,1Won
1422128,178,171,349,,,,1Won
1422129,192,174,366,,,,1Won
1422130,158,164,322,,,,1Won
1422131,180,158,338,,,,2Won
1422132,118,113,231,,,,1Won
1422133,171,142,313,,,,2Won
1422134,250,150,400,,,,1Won
1422135,190,187,377,,,,1Won
1422136,163,160,323,,,,1Won
1422137,172,186,358,,,,2Won
1422138,220,202,422,,,,2Won
1422139,158,118,276,,,,1Won
1426260,124,136,260,,,,1Won
1426261,175,173,348,,,,2Won
1426262,189,188,377,,,,2Won
1426263,186,196,382,,,,2Won
1426264,157,162,319,,,,1Won
1426265,139,149,288,,,,1Won
1426266,153,140,293,,,,2Won
1426267,198,179,377,,,,2Won
1426268,272,248,520,,,,2Won
1426269,202,208,410,,,,1Won
1426270,77,86,163,,,,1Won
1426271,181,162,343,,,,2Won
1426272,172,167,339,,,,1Won
1426273,261,191,452,,,,2Won
1426274,202,212,414,,,,1Won
1426275,138,143,281,,,,1Won
1426276,169,177,346,,,,2Won
1426277,206,204,410,,,,2Won
1426278,219,212,431,,,,2Won
1426279,199,161,360,,,,1Won
1426280,248,256,504,,,,2Won
1426281,249,230,479,,,,1Won
1426282,178,195,373,,,,1Won
1426283,189,194,383,,,,2Won
1426284,203,131,334,,,,1Won
1426285,140,153,293,,,,1Won
1426286,136,134,270,,,,1Won
1426287,144,153,297,,,,2Won
Grand Total,168246,154224,322470,,,,2Won
,,,,,,,1Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
,,,,,,,2Won
